Date,Close
2010/12/24,"3,162.96"
2010/12/27,"3,099.71"
2010/12/28,"3,044.93"
2010/12/29,"3,061.83"
2010/12/30,"3,064.10"
2010/12/31,"3,128.26"
2011/1/4,"3,189.68"
2011/1/5,"3,175.66"
2011/1/6,"3,159.64"
2011/1/7,"3,166.62"
2011/1/10,"3,108.19"
2011/1/11,"3,124.92"
2011/1/12,"3,142.34"
2011/1/13,"3,141.28"
2011/1/14,"3,091.86"
2011/1/17,"2,974.35"
2011/1/18,"2,977.65"
2011/1/19,"3,044.85"
2011/1/20,"2,944.71"
2011/1/21,"2,983.46"
2011/1/24,"2,954.23"
2011/1/25,"2,938.65"
2011/1/26,"2,978.43"
2011/1/27,"3,026.47"
2011/1/28,"3,036.74"
2011/1/31,"3,076.51"
2011/2/1,"3,077.28"
2011/2/9,"3,040.95"
2011/2/10,"3,104.16"
2011/2/11,"3,120.96"
2011/2/14,"3,219.14"
2011/2/15,"3,217.67"
2011/2/16,"3,248.53"
2011/2/17,"3,245.91"
2011/2/18,"3,211.88"
2011/2/21,"3,257.91"
2011/2/22,"3,163.58"
2011/2/23,"3,174.74"
2011/2/24,"3,190.94"
2011/2/25,"3,197.62"
2011/2/28,"3,239.56"
2011/3/1,"3,254.89"
2011/3/2,"3,243.30"
2011/3/3,"3,221.72"
2011/3/4,"3,270.67"
2011/3/7,"3,334.51"
2011/3/8,"3,337.46"
2011/3/9,"3,338.86"
2011/3/10,"3,280.26"
2011/3/11,"3,247.38"
2011/3/14,"3,262.92"
2011/3/15,"3,203.96"
2011/3/16,"3,248.20"
2011/3/17,"3,197.10"
2011/3/18,"3,215.69"
2011/3/21,"3,207.11"
2011/3/22,"3,222.96"
2011/3/23,"3,264.93"
2011/3/24,"3,251.36"
2011/3/25,"3,294.48"
2011/3/28,"3,290.57"
2011/3/29,"3,257.98"
2011/3/30,"3,256.08"
2011/3/31,"3,223.29"
2011/4/1,"3,272.73"
2011/4/6,"3,311.07"
2011/4/7,"3,324.42"
2011/4/8,"3,353.36"
2011/4/11,"3,333.43"
2011/4/12,"3,326.77"
2011/4/13,"3,372.03"
2011/4/14,"3,353.56"
2011/4/15,"3,358.94"
2011/4/18,"3,359.44"
2011/4/19,"3,295.81"
2011/4/20,"3,295.76"
2011/4/21,"3,317.37"
2011/4/22,"3,299.94"
2011/4/25,"3,249.57"
2011/4/26,"3,230.96"
2011/4/27,"3,209.50"
2011/4/28,"3,161.78"
2011/4/29,"3,192.72"
2011/5/3,"3,211.13"
2011/5/4,"3,129.03"
2011/5/5,"3,126.12"
2011/5/6,"3,121.40"
2011/5/9,"3,129.76"
2011/5/10,"3,153.22"
2011/5/11,"3,145.09"
2011/5/12,"3,101.60"
2011/5/13,"3,128.09"
2011/5/16,"3,100.46"
2011/5/17,"3,116.03"
2011/5/18,"3,139.38"
2011/5/19,"3,120.64"
2011/5/20,"3,121.60"
2011/5/23,"3,022.98"
2011/5/24,"3,026.22"
2011/5/25,"2,990.34"
2011/5/26,"2,978.38"
2011/5/27,"2,963.31"
2011/5/30,"2,954.51"
2011/5/31,"3,001.56"
2011/6/1,"3,004.17"
2011/6/2,"2,955.71"
2011/6/3,"2,986.35"
2011/6/7,"3,004.26"
2011/6/8,"3,008.65"
2011/6/9,"2,951.89"
2011/6/10,"2,961.93"
2011/6/13,"2,950.35"
2011/6/14,"2,993.56"
2011/6/15,"2,963.12"
2011/6/16,"2,917.58"
2011/6/17,"2,892.16"
2011/6/20,"2,874.90"
2011/6/21,"2,909.07"
2011/6/22,"2,908.58"
2011/6/23,"2,957.63"
