,value,cash,portfolio
2013-11-06,1145098.467759931,0.0,定期存款利率：3个月（月）
2013-11-07,1145098.467759931,0.0,定期存款利率：3个月（月）
2013-11-08,1145098.467759931,0.0,定期存款利率：3个月（月）
2013-11-11,1145098.467759931,0.0,定期存款利率：3个月（月）
2013-11-12,1145098.467759931,0.0,定期存款利率：3个月（月）
2013-11-13,1145098.467759931,0.0,定期存款利率：3个月（月）
2013-11-14,1145098.467759931,0.0,定期存款利率：3个月（月）
2013-11-15,1145098.467759931,0.0,定期存款利率：3个月（月）
2013-11-18,1145098.467759931,0.0,定期存款利率：3个月（月）
2013-11-19,1145098.467759931,0.0,定期存款利率：3个月（月）
2013-11-20,1145098.467759931,0.0,定期存款利率：3个月（月）
2013-11-21,1145098.467759931,0.0,定期存款利率：3个月（月）
2013-11-22,1145098.467759931,0.0,定期存款利率：3个月（月）
2013-11-25,1145098.467759931,0.0,定期存款利率：3个月（月）
2013-11-26,1145098.467759931,0.0,定期存款利率：3个月（月）
2013-11-27,1145098.467759931,0.0,定期存款利率：3个月（月）
2013-11-28,1145098.467759931,0.0,定期存款利率：3个月（月）
2013-11-29,1145098.467759931,0.0,定期存款利率：3个月（月）
2013-12-02,1145098.467759931,0.0,定期存款利率：3个月（月）
2013-12-03,1145098.467759931,0.0,定期存款利率：3个月（月）
2013-12-04,1145098.467759931,0.0,定期存款利率：3个月（月）
2013-12-05,1145098.467759931,0.0,定期存款利率：3个月（月）
2013-12-06,1145098.467759931,0.0,定期存款利率：3个月（月）
